# Annotation file compilation of the Affymetrix Human Genome U133 Set annotation data (chip HGU133A) http://bioconductor.org/packages/release/data/annotation/html/hgu133a.db.html
# and the web tool g:Convert http://biit.cs.ut.ee/gprofiler/gconvert.cgi
#
# List start ->
affy	genesym
200629_at	WARS
200630_x_at	SETP14
200631_s_at	SET
200632_s_at	NDRG1
200633_at	UBB
200634_at	PFN1
200635_s_at	PTPRF
200636_s_at	PTPRF
200637_s_at	PTPRF
200638_s_at	YWHAZ
200639_s_at	YWHAZ
200640_at	YWHAZ
200641_s_at	YWHAZ
200642_at	SOD1
200643_at	HDLBP
200644_at	MARCKSL1
200645_at	GABARAP
200646_s_at	NUCB1
200647_x_at	EIF3CL
200648_s_at	GLUL
200649_at	NUCB1
200650_s_at	LDHA
200651_at	GNB2L1
200652_at	SSR2
200653_s_at	CALM1
200654_at	P4HB
200655_s_at	CALM1
200656_s_at	P4HB
200657_at	SLC25A5
200658_s_at	PHB
200659_s_at	PHB
200660_at	S100A11
200661_at	CTSA
200662_s_at	TOMM20
200663_at	CD63
200664_s_at	DNAJB1
200665_s_at	SPARC
200666_s_at	DNAJB1
200667_at	UBE2D3
200668_s_at	UBE2D3
200669_s_at	UBE2D3
200670_at	XBP1
200671_s_at	SPTBN1
200672_x_at	SPTBN1
200673_at	LAPTM4A
200674_s_at	SNORA7A
200675_at	CD81
200676_s_at	UBE2L3
200677_at	PTTG1IP
200678_x_at	GRN
200679_x_at	HMGB1
200680_x_at	HMGB1P4
200681_at	GLO1
200682_s_at	UBE2L5P
200683_s_at	UBE2L3
200684_s_at	UBE2L3
200685_at	SRSF11
200686_s_at	SRSF11
200687_s_at	SF3B3
200688_at	SF3B3
200689_x_at	MIR3654
200690_at	HSPA9
200691_s_at	HSPA9
200692_s_at	HSPA9
200693_at	YWHAQ
200694_s_at	DDX24
200695_at	PPP2R1A
200696_s_at	GSN
200697_at	HK1
200698_at	KDELR2
200699_at	KDELR2
200700_s_at	KDELR2
200701_at	NPC2
200702_s_at	DDX24
200703_at	DYNLL1
200704_at	LITAF
200705_s_at	EEF1B2P3
200706_s_at	LITAF
200707_at	PRKCSH
200708_at	GOT2
200709_at	FKBP1A
200710_at	ACADVL
200711_s_at	SKP1
200712_s_at	MAPRE1
200713_s_at	MAPRE1
200714_x_at	OS9
200715_x_at	RPL13A
200716_x_at	RPL13A
200717_x_at	RPL7P32
200718_s_at	SKP1P1
200719_at	SKP1
200720_s_at	ACTR1A
200721_s_at	ACTR1A
200722_s_at	CAPRIN1
200723_s_at	CAPRIN1
200724_at	RPL10
200725_x_at	RPL10
200726_at	PPP1CC
200727_s_at	ACTR2
200728_at	ACTR2
200729_s_at	ACTR2
200730_s_at	PTP4A1
200731_s_at	PTP4A1
200732_s_at	PTP4A1
200733_s_at	PTP4A1
200734_s_at	ARF3
200735_x_at	NACA
200736_s_at	GPX1P2
200737_at	PGK1
200738_s_at	PGK1
200739_s_at	SUMO3
200740_s_at	SUMO3
200741_s_at	RPS27
200742_s_at	TPP1
200743_s_at	TPP1
200744_s_at	GNB1
200745_s_at	GNB1
200746_s_at	GNB1
200747_s_at	NUMA1
200748_s_at	FTH1P16
200749_at	RAN
200750_s_at	RAN
200751_s_at	HNRNPC
200752_s_at	CAPN1
200753_x_at	SRSF2
200754_x_at	SRSF2
200755_s_at	CALU
200756_x_at	CALU
200757_s_at	CALU
200758_s_at	NFE2L1
200759_x_at	NFE2L1
200760_s_at	ARL6IP5
200761_s_at	ARL6IP5
200762_at	DPYSL2
200763_s_at	RPLP1
200764_s_at	CTNNA1
200765_x_at	CTNNA1
200766_at	CTSD
200767_s_at	FAM120A
200768_s_at	MAT2A
200769_s_at	MAT2A
200770_s_at	LAMC1
200771_at	LAMC1
200772_x_at	PTMA
200773_x_at	PTMA
200774_at	FAM120A
200775_s_at	HNRNPKP4
200776_s_at	BZW1
200777_s_at	BZW1
200778_s_at	SEPT2
200779_at	ATF4
200780_x_at	GNAS
200781_s_at	RPS15A
200782_at	ANXA5
200783_s_at	STMN1
200784_s_at	LRP1
200785_s_at	LRP1
200786_at	PSMB7
200787_s_at	PEA15
200788_s_at	PEA15
200789_at	ECH1
200790_at	ODC1
200791_s_at	IQGAP1
200792_at	XRCC6
200793_s_at	ACO2
200794_x_at	DAZAP2
200795_at	SPARCL1
200796_s_at	MCL1
200797_s_at	MCL1
200798_x_at	MCL1
200799_at	HSPA1A
200800_s_at	HSPA1B
200801_x_at	ACTB
200802_at	SARS
200803_s_at	TMBIM6
200804_at	TMBIM6
200805_at	LMAN2
200806_s_at	HSPD1P1
200807_s_at	HSPD1P1
200808_s_at	ZYX
200809_x_at	RPL12P4
200810_s_at	CIRBP
200811_at	CIRBP
200812_at	CCT7
200813_s_at	PAFAH1B1
200814_at	PSME1
200815_s_at	PAFAH1B1
200816_s_at	PAFAH1B1
200817_x_at	RPS10-NUDT3
200818_at	ATP5O
200819_s_at	RPS15
200820_at	PSMD8
200821_at	LAMP2
200822_x_at	TPI1
200823_x_at	RPL29
200824_at	GSTP1
200825_s_at	HYOU1
200826_at	SNRPD2
200827_at	PLOD1
200828_s_at	ZNF207
200829_x_at	ZNF207
200830_at	PSMD2
200831_s_at	SCD
200832_s_at	SCD
200833_s_at	RAP1B
200834_s_at	RPS21
200835_s_at	MAP4
200836_s_at	MAP4
200837_at	BCAP31
200838_at	CTSB
200839_s_at	CTSB
200840_at	KARS
200841_s_at	EPRS
200842_s_at	EPRS
200843_s_at	EPRS
200844_s_at	PRDX6
200845_s_at	PRDX6
200846_s_at	PPP1CA
200847_s_at	SARAF
200848_at	AHCYL1
200849_s_at	AHCYL1
200850_s_at	AHCYL1
200851_s_at	IST1
200852_x_at	GNB2
200853_at	H2AFZ
200854_at	NCOR1
200855_at	NCOR1
200856_x_at	NCOR1
200857_s_at	NCOR1
200858_s_at	RPS8
200859_x_at	FLNA
200860_s_at	CNOT1
200861_at	CNOT1
200862_at	DHCR24
200863_s_at	RAB11A
200864_s_at	RAB11A
200865_at	EIF3F
200866_s_at	PSAP
200867_at	RNF114
200868_s_at	RNF114
200869_at	RPL18A
200870_at	STRAP
200871_s_at	PSAP
200872_at	S100A10
200873_s_at	CCT8
200874_s_at	NOP56
200875_s_at	NOP56
200876_s_at	PSMB1
200877_at	CCT4
200878_at	EPAS1
200879_s_at	EPAS1
200880_at	DNAJA1
200881_s_at	DNAJA1
200882_s_at	PSMD4
200883_at	UQCRC2
200884_at	CKB
200885_at	RHOC
200886_s_at	PGAM1
200887_s_at	STAT1
200888_s_at	SNORA21
200889_s_at	SSR1
200890_s_at	SSR1
200891_s_at	SSR1
200892_s_at	TRA2B
200893_at	TRA2B
200894_s_at	FKBP4
200895_s_at	FKBP4
200896_x_at	HDGF
200897_s_at	PALLD
200898_s_at	MGEA5
200899_s_at	MGEA5
200900_s_at	M6PR
200901_s_at	M6PR
200902_at	SEPT15
200903_s_at	AHCY
200904_at	HLA-E
200905_x_at	HLA-E
200906_s_at	PALLD
200907_s_at	PALLD
200908_s_at	RPLP2
200909_s_at	RPLP2
200910_at	CCT3
200911_s_at	TACC1
200912_s_at	EIF4A2
200913_at	PPM1G
200914_x_at	KTN1
200915_x_at	KTN1
200916_at	TAGLN2
200917_s_at	SRPR
200918_s_at	SRPR
200919_at	PHC2
200920_s_at	BTG1
200921_s_at	BTG1
200922_at	KDELR1
200923_at	LGALS3BP
200924_s_at	SLC3A2
200925_at	COX6A1
200926_at	RPS23
200927_s_at	RAB14
200928_s_at	RAB14
200929_at	TMED10
200930_s_at	VCL
200931_s_at	VCL
200932_s_at	DCTN2
200933_x_at	RPS4X
200934_at	DEK
200935_at	CALR
200936_at	RPL8
200937_s_at	RPL5
200938_s_at	RERE
200939_s_at	RERE
200940_s_at	RERE
200941_at	HSBP1
200942_s_at	HSBP1
200943_at	HMGN1P36
200944_s_at	HMGN1P36
200945_s_at	SEC31A
200946_x_at	GLUD1
200947_s_at	GLUD1
200948_at	MLF2
200949_x_at	RPS20
200950_at	ARPC1A
200951_s_at	CCND2
200952_s_at	CCND2
200953_s_at	CCND2
200954_at	ATP6V0C
200955_at	IMMT
200956_s_at	SSRP1
200957_s_at	SSRP1
200958_s_at	SDCBP
200959_at	FUS
200960_x_at	CLTA
200961_at	SEPHS2
200962_at	RPL31
200963_x_at	RPL31
200964_at	UBA1
200965_s_at	ABLIM1
200966_x_at	ALDOA
200967_at	PPIB
200968_s_at	PPIB
200969_at	SERP1
200970_s_at	SERP1
200971_s_at	SERP1
200972_at	TSPAN3
200973_s_at	TSPAN3
200974_at	ACTA2
200975_at	PPT1
200976_s_at	TAX1BP1
200977_s_at	TAX1BP1
200978_at	MDH1
200979_at	PDHA1
200980_s_at	PDHA1
200981_x_at	GNAS
200982_s_at	ANXA6
200983_x_at	CD59
200984_s_at	CD59
200985_s_at	CD59
200986_at	SERPING1
200987_x_at	PSME3
200988_s_at	PSME3
200989_at	HIF1A
200990_at	TRIM28
200991_s_at	SNX17
200992_at	IPO7
200993_at	IPO7
200994_at	IPO7
200995_at	IPO7
200996_at	ACTR3
200997_at	RBM14-RBM4
200998_s_at	CKAP4
200999_s_at	CKAP4
201000_at	AARS
201001_s_at	UBE2V1
201002_s_at	UBE2V1
201003_x_at	ELF3
201004_at	SSR4
201005_at	CD9
201006_at	PRDX2
201007_at	HADHB
201008_s_at	TXNIP
201009_s_at	TXNIP
201010_s_at	TXNIP
201011_at	RPN1
201012_at	ANXA1
201013_s_at	PAICS
201014_s_at	PAICS
201015_s_at	JUP
201016_at	EIF1AXP1
201017_at	EIF1AX
201018_at	EIF1AX
201019_s_at	EIF1AX
201020_at	YWHAH
201021_s_at	DSTN
201022_s_at	DSTN
201023_at	TAF7
201024_x_at	EIF5B
201025_at	EIF5B
201026_at	EIF5B
201027_s_at	EIF5B
201028_s_at	CD99
201029_s_at	CD99
201030_x_at	LDHB
201031_s_at	HNRNPH1
201032_at	BLCAP
201033_x_at	RPLP0
201034_at	ADD3
201035_s_at	HADH
201036_s_at	HADH
201037_at	PFKP
201038_s_at	ANP32A
201039_s_at	RAD23A
201040_at	GNAI2
201041_s_at	DUSP1
201042_at	TGM2
201043_s_at	ANP32A
201044_x_at	DUSP1
201045_s_at	RAB6A
201046_s_at	RAD23A
201047_x_at	RAB6A
201048_x_at	RAB6A
201049_s_at	RPS18
201050_at	PLD3
201051_at	ANP32A
201052_s_at	PSMF1
201053_s_at	PSMF1
201054_at	HNRNPA0
201055_s_at	HNRNPA0
201056_at	GOLGB1
201057_s_at	GOLGB1
201058_s_at	MYL9
201059_at	CTTN
201060_x_at	STOM
201061_s_at	STOM
201062_at	STOM
201063_at	RCN1
201064_s_at	PABPC4
201065_s_at	GTF2I
201066_at	CYC1
201067_at	PSMC2
201068_s_at	PSMC2
201069_at	MMP2
201070_x_at	SF3B1
201071_x_at	SF3B1
201072_s_at	SMARCC1
201073_s_at	SMARCC1
201074_at	SMARCC1
201075_s_at	SMARCC1
201076_at	NHP2L1
201077_s_at	NHP2L1
201078_at	TM9SF2
201079_at	SYNGR2
201080_at	PIP4K2B
201081_s_at	PIP4K2B
201082_s_at	DCTN1
201083_s_at	BCLAF1P1
201084_s_at	BCLAF1
201085_s_at	SON
201086_x_at	SON
201087_at	PXN
201088_at	KPNA2
201089_at	ATP6V1B2
201090_x_at	TUBA1B
201091_s_at	CBX3
201092_at	RBBP7
201093_x_at	SDHA
201094_at	RPS29
201095_at	DAP
201096_s_at	ARF4
201097_s_at	ARF4
201098_at	COPB2
201099_at	USP9X
201100_s_at	USP9X
201101_s_at	BCLAF1
201102_s_at	PFKL
201103_x_at	NBPF8
201104_x_at	NBPF8
201105_at	LGALS1
201106_at	GPX4
201107_s_at	THBS1
201108_s_at	THBS1
201109_s_at	THBS1
201110_s_at	THBS1
201111_at	CSE1L
201112_s_at	CSE1L
201113_at	TUFM
201114_x_at	PSMA7
201115_at	POLD2
201116_s_at	CPE
201117_s_at	CPE
201118_at	PGD
201119_s_at	COX8A
201120_s_at	PGRMC1
201121_s_at	PGRMC1
201122_x_at	EIF5A
201123_s_at	EIF5A
201124_at	ITGB5
201125_s_at	ITGB5
201126_s_at	MGAT1
201127_s_at	ACLY
201128_s_at	ACLY
201129_at	SRSF7
201130_s_at	CDH1
201131_s_at	CDH1
201132_at	HNRNPH2
201133_s_at	PJA2
201134_x_at	COX7C
201135_at	ECHS1
201136_at	PLP2
201137_s_at	HLA-DPB1
201138_s_at	SSB
201139_s_at	SSB
201140_s_at	RAB5C
201141_at	GPNMB
201142_at	EIF2S1
201143_s_at	EIF2S1
201144_s_at	EIF2S1
201145_at	HAX1
201146_at	NFE2L2
201147_s_at	TIMP3
201148_s_at	TIMP3
201149_s_at	TIMP3
201150_s_at	TIMP3
201151_s_at	MBNL1
201152_s_at	MBNL1
201153_s_at	MBNL1
201154_x_at	RPL4P5
201155_s_at	MFN2
201156_s_at	RAB5C
201157_s_at	NMT1
201158_at	NMT1
201159_s_at	NMT1
201160_s_at	YBX3
201161_s_at	YBX3
201162_at	IGFBP7
201163_s_at	IGFBP7
201164_s_at	PUM1
201165_s_at	PUM1
201166_s_at	PUM1
201167_x_at	ARHGDIA
201168_x_at	ARHGDIA
201169_s_at	BHLHE40
201170_s_at	BHLHE40
201171_at	ATP6V0E1
201172_x_at	ATP6V0E1
201173_x_at	NUDC
201174_s_at	TERF2IP
201175_at	TMX2
201176_s_at	ARCN1
201177_s_at	UBA2
201178_at	FBXO7
201179_s_at	GNAI3
201180_s_at	GNAI3
201181_at	GNAI3
201182_s_at	CHD4
201183_s_at	CHD4
201184_s_at	CHD4
201185_at	HTRA1
201186_at	LRPAP1
201187_s_at	ITPR3
201188_s_at	ITPR3
201189_s_at	ITPR3
201190_s_at	PITPNA
201191_at	PITPNA
201192_s_at	PITPNA
201193_at	IDH1
201194_at	SEPW1
201195_s_at	SLC7A5
201196_s_at	AMD1
201197_at	AMD1
201198_s_at	PSMD1
201199_s_at	PSMD1
201200_at	CREG1
201201_at	CSTB
201202_at	PCNA
201203_s_at	RRBP1
201204_s_at	RRBP1
201205_at	RRBP1
201206_s_at	RRBP1
201207_at	TNFAIP1
201208_s_at	TNFAIP1
201209_at	HDAC1
201210_at	DDX3X
201211_s_at	DDX3X
201212_at	LGMN
201213_at	PPP1R7
201214_s_at	PPP1R7
201215_at	PLS3
201216_at	ERP29
201217_x_at	RPL3P4
201218_at	CTBP2
201219_at	CTBP2
201220_x_at	CTBP2
201221_s_at	SNRNP70
201222_s_at	RAD23B
201223_s_at	RAD23B
201224_s_at	SRRM1
201225_s_at	SRRM1
201226_at	NDUFB8
201227_s_at	NDUFB8
201228_s_at	ARIH2
201229_s_at	ARIH2
201230_s_at	ARIH2
201231_s_at	ENO1
201232_s_at	PSMD13
201233_at	PSMD13
201234_at	ILK
201235_s_at	BTG2
201236_s_at	BTG2
201237_at	CAPZA2
201238_s_at	CAPZA2
201239_s_at	SPCS2
201240_s_at	SPCS2
201241_at	DDX1
201242_s_at	ATP1B1
201243_s_at	ATP1B1
201244_s_at	RAF1
201245_s_at	OTUB1
201246_s_at	OTUB1
201247_at	SREBF2
201248_s_at	SREBF2
201249_at	SLC2A1
201250_s_at	SLC2A1
201251_at	PKM
201252_at	PSMC4
201253_s_at	CDIPT
201254_x_at	RPS6
201255_x_at	BAG6
201256_at	COX7A2L
201257_x_at	RPS3AP6
201258_at	RPS16
201259_s_at	SYPL1
201260_s_at	SYPL1
201261_x_at	BGN
201262_s_at	BGN
201263_at	TARS
201264_at	COPE
201265_at	201265_AT
201266_at	TXNRD1
201267_s_at	PSMC3
201268_at	NME1-NME2
201269_s_at	NUDCD3
201270_x_at	NUDCD3
201271_s_at	RALY
201272_at	AKR1B1
201273_s_at	SRP9
201274_at	PSMA5
201275_at	FDPS
201276_at	RAB5B
201277_s_at	HNRNPAB
201278_at	DAB2
201279_s_at	DAB2
201280_s_at	DAB2
201281_at	ADRM1
201282_at	OGDH
201283_s_at	TRAK1
201284_s_at	APEH
201285_at	MKRN1
201286_at	SDC1
201287_s_at	SDC1
201288_at	ARHGDIB
201289_at	CYR61
201290_at	SEC11A
201291_s_at	TOP2A
201292_at	TOP2A
201293_x_at	PPIA
201294_s_at	WSB1
201295_s_at	WSB1
201296_s_at	WSB1
201297_s_at	MOB1A
201298_s_at	MOB1A
201299_s_at	MOB1A
201300_s_at	PRNP
201301_s_at	ANXA4
201302_at	ANXA4
201303_at	EIF4A3
201304_at	NDUFA5
201305_x_at	ANP32B
201306_s_at	ANP32B
201307_at	SEPT11
201308_s_at	SEPT11
201309_x_at	NREP
201310_s_at	NREP
201311_s_at	SH3BGRL
201312_s_at	SH3BGRL
201313_at	ENO2
201314_at	STK25
201315_x_at	IFITM2
201316_at	PSMA2
201317_s_at	PSMA2
201318_s_at	MYL12B
201319_at	MYL12A
201320_at	SMARCC2
201321_s_at	SMARCC2
201322_at	ATP5B
201323_at	EBNA1BP2
201324_at	EMP1
201325_s_at	EMP1
201326_at	CCT6A
201327_s_at	CCT6A
201328_at	ETS2
201329_s_at	ETS2
201330_at	RARS
201331_s_at	STAT6
201332_s_at	STAT6
201333_s_at	ARHGEF12
201334_s_at	ARHGEF12
201335_s_at	ARHGEF12
201336_at	VAMP3
201337_s_at	VAMP3
201338_x_at	GTF3A
201339_s_at	SCP2
201340_s_at	ENC1
201341_at	ENC1
201342_at	SNRPC
201343_at	UBE2D2
201344_at	UBE2D2
201345_s_at	UBE2D2
201346_at	ADIPOR2
201347_x_at	GRHPR
201348_at	GPX3
201349_at	SLC9A3R1
201350_at	FLOT2
201351_s_at	YME1L1
201352_at	YME1L1
201353_s_at	BAZ2A
201354_s_at	BAZ2A
201355_s_at	BAZ2A
201356_at	SF3A1
201357_s_at	SF3A1
201358_s_at	COPB1
201359_at	COPB1
201360_at	CST3
201361_at	TMEM109
201362_at	IVNS1ABP
201363_s_at	IVNS1ABP
201364_s_at	OAZ2
201365_at	OAZ2
201366_at	ANXA7
201367_s_at	ZFP36L2
201368_at	ZFP36L2
201369_s_at	ZFP36L2
201370_s_at	CUL3
201371_s_at	CUL3
201372_s_at	CUL3
201373_at	PLEC
201374_x_at	PPP2CB
201375_s_at	PPP2CB
201376_s_at	HNRNPF
201377_at	UBAP2L
201378_s_at	UBAP2L
201379_s_at	TPD52L2
201380_at	CRTAP
201381_x_at	CACYBPP2
201382_at	CACYBP
201383_s_at	NBR1
201384_s_at	NBR1
201385_at	DHX15
201386_s_at	DHX15
201387_s_at	UCHL1
201388_at	PSMD3
201389_at	ITGA5
201390_s_at	CSNK2B
201391_at	TRAP1
201392_s_at	IGF2R
201393_s_at	IGF2R
201394_s_at	RBM5
201395_at	RBM5
201396_s_at	SGTA
201397_at	PHGDH
201398_s_at	TRAM1
201399_s_at	TRAM1
201400_at	PSMB3
201401_s_at	ADRBK1
201402_at	ADRBK1
201403_s_at	MGST3
201404_x_at	PSMB2
201405_s_at	COPS6
201406_at	RPL36A
201407_s_at	PPP1CB
201408_at	PPP1CB
201409_s_at	PPP1CB
201410_at	PLEKHB2
201411_s_at	PLEKHB2
201412_at	LRP10
201413_at	HSD17B4
201414_s_at	NAP1L4
201415_at	GSS
201416_at	SOX4
201417_at	SOX4
201418_s_at	SOX4
201419_at	BAP1
201420_s_at	WDR77
201421_s_at	WDR77
201422_at	PIK3R2
201423_s_at	CUL4A
201424_s_at	CUL4A
201425_at	ALDH2
201426_s_at	VIM
201427_s_at	SEPP1
201428_at	CLDN4
201429_s_at	RPL37A
201430_s_at	DPYSL3
201431_s_at	DPYSL3
201432_at	CAT
201433_s_at	PTDSS1
201434_at	TTC1
201435_s_at	EIF4E
201436_at	EIF4E
201437_s_at	EIF4E
201438_at	COL6A3
201439_at	GBF1
201440_at	DDX23
201441_at	COX6B1
201442_s_at	ATP6AP2
201443_s_at	ATP6AP2
201444_s_at	ATP6AP2
201445_at	CNN3
201446_s_at	TIA1
201447_at	TIA1
201448_at	TIA1
201449_at	TIA1
201450_s_at	TIA1
201451_x_at	RHEB
201452_at	RHEB
201453_x_at	RHEB
201454_s_at	NPEPPS
201455_s_at	NPEPPS
201456_s_at	BUB3
201457_x_at	BUB3
201458_s_at	BUB3
201459_at	RUVBL2
201460_at	MAPKAPK2
201461_s_at	MAPKAPK2
201462_at	SCRN1
201463_s_at	TALDO1
201464_x_at	JUN
201465_s_at	JUN
201466_s_at	JUN
201467_s_at	NQO1
201468_s_at	NQO1
201469_s_at	SHC1
201470_at	GSTO1
201471_s_at	SQSTM1
201472_at	VBP1
201473_at	JUNB
201474_s_at	ITGA3
201475_x_at	MARS
201476_s_at	RRM1
201477_s_at	RRM1
201478_s_at	DKC1
201479_at	DKC1
201480_s_at	SUPT5H
201481_s_at	PYGB
201482_at	QSOX1
201483_s_at	SUPT4H1
201484_at	SUPT4H1
201485_s_at	RCN2
201486_at	RCN2
201487_at	CTSC
201488_x_at	KHDRBS1
201489_at	PPIF
201490_s_at	PPIF
201491_at	AHSA1
201492_s_at	RPL41P1
201493_s_at	PUM2
201494_at	PRCP
201495_x_at	MYH11
201496_x_at	MYH11
201497_x_at	MYH11
201498_at	USP7
201499_s_at	USP7
201500_s_at	PPP1R11
201501_s_at	GRSF1
201502_s_at	NFKBIA
201503_at	G3BP1
201504_s_at	TSN
201505_at	LAMB1
201506_at	TGFBI
201507_at	PFDN1
201508_at	IGFBP4
201509_at	IDH3B
201510_at	ELF3
201511_at	AAMP
201512_s_at	TOMM70A
201513_at	TSN
201514_s_at	G3BP1
201515_s_at	TSN
201516_at	SRM
201517_at	NCBP2
201518_at	CBX1
201519_at	TOMM70A
201520_s_at	GRSF1
201521_s_at	NCBP2
201522_x_at	SNRPN
201523_x_at	UBE2N
201524_x_at	UBE2N
201525_at	APOD
201526_at	ARF5
201527_at	ATP6V1F
201528_at	RPA1
201529_s_at	RPA1
201530_x_at	EIF4A1
201531_at	ZFP36
201532_at	PSMA3
201533_at	CTNNB1
201534_s_at	UBL3
201535_at	UBL3
201536_at	DUSP3
201537_s_at	DUSP3
201538_s_at	DUSP3
201539_s_at	FHL1
201540_at	FHL1
201541_s_at	ZNHIT1
201542_at	SAR1A
201543_s_at	SAR1A
201544_x_at	PABPN1
201545_s_at	PABPN1
201546_at	TRIP12
201547_at	KDM5B
201548_s_at	KDM5B
201549_x_at	KDM5B
201550_x_at	ACTG1
201551_s_at	LAMP1
201552_at	LAMP1
201553_s_at	LAMP1
201554_x_at	GYG1
201555_at	MCM3
201556_s_at	VAMP2
201557_at	VAMP2
201558_at	RAE1
201559_s_at	CLIC4
201560_at	CLIC4
201561_s_at	CLSTN1
201562_s_at	SORD2P
201563_at	SORD
201564_s_at	FSCN1
201565_s_at	ID2
201566_x_at	ID2
201567_s_at	GOLGA4
201568_at	UQCRQ
201569_s_at	SAMM50
201570_at	SAMM50
201571_s_at	DCTD
201572_x_at	DCTD
201573_s_at	ETF1P1
201574_at	ETF1
201575_at	SNW1
201576_s_at	GLB1
201577_at	NME2
201578_at	PODXL
201579_at	FAT1
201580_s_at	TMX4
201581_at	TMX4
201582_at	SEC23B
201583_s_at	SEC23B
201584_s_at	DDX39A
201585_s_at	SFPQ
201586_s_at	SFPQ
201587_s_at	IRAK1
201588_at	TXNL1
201589_at	SMC1A
201590_x_at	ANXA2
201591_s_at	NISCH
201592_at	EIF3H
201593_s_at	ZC3H15
201594_s_at	PPP4R1
201595_s_at	ZC3H15
201596_x_at	KRT18
201597_at	COX7A2
201598_s_at	INPPL1
201599_at	OAT
201600_at	PHB2
201601_x_at	IFITM1
201602_s_at	PPP1R12A
201603_at	PPP1R12A
201604_s_at	PPP1R12A
201605_x_at	CNN2
201606_s_at	PWP1
201607_at	PWP1
201608_s_at	PWP1
201609_x_at	ICMT
201610_at	ICMT
201611_s_at	ICMT
201612_at	ALDH9A1
