Input	Match type	Approved symbol	Approved name	HGNC ID	Location
CRF	Synonyms	C1QL1	"complement component 1, q subcomponent-like 1"	HGNC:24182	17q21
CTF	Synonyms	NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	HGNC:7786	19p13.3
CTF-1	Unmatched				
CTF-2	Unmatched				
CTF-3	Unmatched				
DAP	Approved symbol	DAP	death-associated protein	HGNC:2672	5p15.2
DAP	Synonyms	IAPP	islet amyloid polypeptide	HGNC:5329	12p12.1
DAP	Synonyms	DNPEP	aspartyl aminopeptidase	HGNC:2981	2q36.1
DBF4	Approved symbol	DBF4	DBF4 zinc finger	HGNC:17364	7q21.3
DbpA	Synonyms	YBX3	Y box binding protein 3	HGNC:2428	12p13.1
DbpB	Synonyms	YBX1	Y box binding protein 1	HGNC:8014	1p34
DF-1	Unmatched				
DF-2	Unmatched				
DF-3	Unmatched				
NC2	Synonyms	DR1	"down-regulator of transcription 1, TBP-binding (negative cofactor 2)"	HGNC:3017	1p22.1
DTF	Unmatched				
E	Unmatched				
E12	Synonyms	ELSPBP1	epididymal sperm binding protein 1	HGNC:14417	19q13.33
E47	Synonyms	TCF3	transcription factor 3	HGNC:11633	19p13.3
E2F	Unmatched				
E4F	Synonyms	E4F1	E4F transcription factor 1	HGNC:3121	16p13.3
E4F1	Approved symbol	E4F1	E4F transcription factor 1	HGNC:3121	16p13.3
EF1	Unmatched				
E2F+E4	Unmatched				
Egr-1	Unmatched				
Egr-2	Unmatched				
Egr-3	Unmatched				
EIIaE-A	Unmatched				
EIIaE-B	Unmatched				
EIIaE-Calpha	Unmatched				
EIIaE-Cbeta	Unmatched				
Elk-1	Unmatched				
ENH-bind	Unmatched				
prot	Synonyms	SLC6A7	"solute carrier family 6 (neurotransmitter transporter), member 7"	HGNC:11054	5q32
ENKTF-1	Unmatched				
ER-alpha	Unmatched				
Erg-1	Synonyms	CUZD1	CUB and zona pellucida-like domains 1	HGNC:17937	10q26.13
Erg-2	Unmatched				
GABP-alpha:GABP-beta	Unmatched				
E4TF2	Unmatched				
ETF	Synonyms	TEAD2	TEA domain family member 2	HGNC:11715	19q13.3
f-EBP	Unmatched				
GAF	Unmatched				
GATA-1	Synonyms	GATA1	GATA binding protein 1 (globin transcription factor 1)	HGNC:4170	Xp11.23
GATA-2	Unmatched				
GATA-3	Unmatched				
GCF	Synonyms	GCFC2	GC-rich sequence DNA-binding factor 2	HGNC:1317	2p12
G6	Unmatched				
POU1F1	Approved symbol	POU1F1	POU class 1 homeobox 1	HGNC:9210	3p11.2
GLI1	Approved symbol	GLI1	GLI family zinc finger 1	HGNC:4317	12q13.2-q13.3
GLI3	Approved symbol	GLI3	GLI family zinc finger 3	HGNC:4319	7p13
GR-alpha	Unmatched				
GT-IC	Unmatched				
GT-IIA	Unmatched				
GT-IIBalpha	Unmatched				
GT-IIBbeta	Unmatched				
heat-induced	Unmatched				
HEF-1B	Unmatched				
HEF-4C	Unmatched				
HEF-1T	Unmatched				
alphaH2-alphaH3	Unmatched				
HiNF-A	Unmatched				
HiNF-B	Unmatched				
HiNF-C	Unmatched				
HiNF-D	Unmatched				
HiNF-D3	Unmatched				
HIP1	Approved symbol	HIP1	huntingtin interacting protein 1	HGNC:4913	7q11.23
HNF-1alpha-A	Unmatched				
HNF-4alpha2	Unmatched				
HOXD4	Approved symbol	HOXD4	homeobox D4	HGNC:5138	2q31.1
HrpF	Unmatched				
HSF	Synonyms	IL6	interleukin 6	HGNC:6018	7p21-p15
H1TF1	Unmatched				
H1TF2	Unmatched				
H4TF-1	Unmatched				
H4TF-2	Unmatched				
p52	Synonyms	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	HGNC:7795	10q24
p52	Synonyms	GTF2H4	"general transcription factor IIH, polypeptide 4, 52kDa"	HGNC:4658	6p21.3
p52	Synonyms	PSIP1	PC4 and SFRS1 interacting protein 1	HGNC:9527	9p22.2
Pax-7	Unmatched				
Pax-1	Unmatched				
IBP-1	Unmatched				
IgPE-1	Unmatched				
IgPE-2	Unmatched				
IgPE-3	Unmatched				
IkappaB-beta	Unmatched				
Il-1	Unmatched				
RF	Unmatched				
IL-6	Synonyms	IL6	interleukin 6	HGNC:6018	7p21-p15
IRF-1	Unmatched				
ISGF-1	Unmatched				
ISGF-3	Synonyms	STAT1	"signal transducer and activator of transcription 1, 91kDa"	HGNC:11362	2q32.2-q32.3
ITF	Synonyms	TFF3	trefoil factor 3 (intestinal)	HGNC:11757	21q22.3
ITF-1	Unmatched				
ITF-2	Unmatched				
JRF	Unmatched				
kappaY	Unmatched				
KBP-1	Synonyms	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	HGNC:13561	1p34
KER1	Unmatched				
50-55K	Unmatched				
70-75K	Unmatched				
80-90K	Unmatched				
KUP	Synonyms	ZBTB25	zinc finger and BTB domain containing 25	HGNC:13112	14q23-q24
LBP-1	Unmatched				
LF-A1	Unmatched				
LIT-1	Unmatched				
Max1	Unmatched				
MAZ	Approved symbol	MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	HGNC:6914	16p11.2
MBF1	Unmatched				
MBF2	Unmatched				
MBF3	Unmatched				
MBP-2	Synonyms	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	HGNC:4921	6q23-q24
MBP-1	Synonyms	ENO1	"enolase 1, (alpha)"	HGNC:3350	1p36.2
MBP-1	Synonyms	HIVEP1	human immunodeficiency virus type I enhancer binding protein 1	HGNC:4920	6p24-p22.3
MR	Synonyms	NR3C2	"nuclear receptor subfamily 3, group C, member 2"	HGNC:7979	4q31
mtTFA	Unmatched				
Myf-3	Unmatched				
Myf-4	Unmatched				
Myf-5	Unmatched				
Myf-6	Unmatched				
MyoD	Synonyms	MYOD1	myogenic differentiation 1	HGNC:7611	11p15
MZF-1	Synonyms	MZF1	myeloid zinc finger 1	HGNC:13108	19q13.43
NC1	Unmatched				
NF-1	Unmatched				
Oct-B1	Unmatched				
NF-AB	Unmatched				
NF-AT1	Unmatched				
NF-E2	Synonyms	NFE2	"nuclear factor, erythroid 2"	HGNC:7780	12q13
NF-E3	Synonyms	NR2F2	"nuclear receptor subfamily 2, group F, member 2"	HGNC:7976	15q26
NF-muE1	Unmatched				
NF-muE2	Unmatched				
NF-muE3	Unmatched				
NFE-6	Unmatched				
NFe	Unmatched				
NF-4FA	Unmatched				
NF-4FB	Unmatched				
NF-4FC	Unmatched				
NF-GMa	Unmatched				
NF-GMb	Unmatched				
NF	Synonyms	NFASC	neurofascin	HGNC:29866	1q32.1
III-a	Unmatched				
III-c	Unmatched				
III-e	Unmatched				
NF-IL6-2	Unmatched				
NF-IL-2A	Unmatched				
C/EBPdelta	Unmatched				
NF-kappaB	Synonyms	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	HGNC:7794	4q24
p50	Synonyms	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	HGNC:7794	4q24
p50	Synonyms	CD40	"CD40 molecule, TNF receptor superfamily member 5"	HGNC:11919	20q12-q13.2
p50	Synonyms	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	HGNC:15607	13q33.3
RelA	Approved symbol	RELA	v-rel avian reticuloendotheliosis viral oncogene homolog A	HGNC:9955	11q13
NF-kappaE1	Unmatched				
NF-kappaE2	Unmatched				
NF-kappaE3	Unmatched				
NF-MHCIIA	Unmatched				
NF-MHCIIB	Unmatched				
NF-S	Unmatched				
NF-X2	Unmatched				
NF-Xc	Unmatched				
NF-Zz	Unmatched				
NF-Zc	Unmatched				
NHP-1	Unmatched				
NHP-2	Unmatched				
NHP3	Unmatched				
NHP4	Unmatched				
ZEB	Synonyms	ZEB1	zinc finger E-box binding homeobox 1	HGNC:11642	10p11.22
N-Oct-2alpha	Unmatched				
POU3F2	Approved symbol	POU3F2	POU class 3 homeobox 2	HGNC:9215	6q16.2
N-Oct-4	Unmatched				
N-Oct-5a	Unmatched				
N-Oct-5b	Unmatched				
N-Oct-2beta	Unmatched				
NTF	Unmatched				
gamma	Synonyms	SUPT7L	suppressor of Ty 7 (S. cerevisiae)-like	HGNC:30632	2p23.3
POU2F1	Approved symbol	POU2F1	POU class 2 homeobox 1	HGNC:9212	1q24.2
POU2F2	Approved symbol	POU2F2	POU class 2 homeobox 2	HGNC:9213	19q13.2
Oct-2.1	Unmatched				
POU5F1A	Unmatched				
POU3F1	Approved symbol	POU3F1	POU class 3 homeobox 1	HGNC:9214	1p34.3
Octa-factor	Unmatched				
POU2F2B	Unmatched				
oct-B2	Unmatched				
oct-B3	Unmatched				
POU2F2C	Unmatched				
p53	Synonyms	TP53	tumor protein p53	HGNC:11998	17p13.1
NRF-1	Unmatched				
Pax-3	Unmatched				
PEA3	Synonyms	ETV4	ets variant 4	HGNC:3493	17q21
PR	Synonyms	PGR	progesterone receptor	HGNC:8910	11q22-q23
PR	Synonyms	PRH2	proline-rich protein HaeIII subfamily 2	HGNC:9367	12p13.2
PR	Synonyms	TMEM37	transmembrane protein 37	HGNC:18216	2q14.2
B	Unmatched				
Pu	Unmatched				
box	Unmatched				
BJA-B	Unmatched				
PuF	Unmatched				
R1	Synonyms	CDCA7L	cell division cycle associated 7-like	HGNC:30777	7p15.3
R2	Synonyms	CD82	CD82 molecule	HGNC:6210	11p11.2
RAR-alpha1	Unmatched				
RAR-gamma	Unmatched				
RAR-beta	Unmatched				
pRb	Unmatched				
RF-Y	Unmatched				
RPF1	Approved symbol	RPF1	ribosome production factor 1 homolog (S. cerevisiae)	HGNC:30350	1p22.3
RPF1	Synonyms	NEDD4	"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase"	HGNC:7727	15q
RVF	Unmatched				
SAP-1a	Unmatched				
Sp1	Approved symbol	SP1	Sp1 transcription factor	HGNC:11205	12q13.1
SRF	Approved symbol	SRF	serum response factor (c-fos serum response element-binding transcription factor)	HGNC:11291	6p
TAF-I	Unmatched				
TAF-II	Unmatched				
TAF-L	Unmatched				
Tal-1	Unmatched				
TAR	Unmatched				
TBP	Approved symbol	TBP	TATA box binding protein	HGNC:11588	6q27
TCF	Unmatched				
TCF-2alpha	Unmatched				
TEF-1	Synonyms	TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	HGNC:11714	11p15.4
TEF-2	Unmatched				
TFE3	Approved symbol	TFE3	transcription factor binding to IGHM enhancer 3	HGNC:11752	Xp11.22
TFEB	Approved symbol	TFEB	transcription factor EB	HGNC:11753	6p21
TFIIA	Synonyms	GTF2A1	"general transcription factor IIA, 1, 19/37kDa"	HGNC:4646	14q31
TFIIA	Synonyms	GTF2A2	"general transcription factor IIA, 2, 12kDa"	HGNC:4647	15q21.3
TFIIB	Synonyms	GTF2B	general transcription factor IIB	HGNC:4648	1p22-p21
TFIID	Synonyms	TBP	TATA box binding protein	HGNC:11588	6q27
TFIIE	Unmatched				
TFII-I	Synonyms	GTF2I	general transcription factor IIi	HGNC:4659	7q11.23
Tf-LF1	Unmatched				
Tf-LF2	Unmatched				
TGT3	Synonyms	FOXM1	forkhead box M1	HGNC:3818	12p13
TMF	Synonyms	TMF1	TATA element modulatory factor 1	HGNC:11870	3p21-p12
T3R-alpha	Unmatched				
TREB-1	Unmatched				
TREB-2	Unmatched				
TREB-3	Unmatched				
T3R-beta1	Unmatched				
Nkx2-1	Approved symbol	NKX2-1	NK2 homeobox 1	HGNC:11825	14q13.3
UBP-1	Unmatched				
USF1	Approved symbol	USF1	upstream transcription factor 1	HGNC:12593	1q22-q23
USF2	Approved symbol	USF2	"upstream transcription factor 2, c-fos interacting"	HGNC:12594	19q13
Vav	Previous symbol	VAV1	vav 1 guanine nucleotide exchange factor	HGNC:12657	19p13.2
VDR	Approved symbol	VDR	"vitamin D (1,25- dihydroxyvitamin D3) receptor"	HGNC:12679	12q12-q14
HNF-1beta-A	Unmatched				
VITF	Unmatched				
WT1	Approved symbol	WT1	Wilms tumor 1	HGNC:12796	11p13
I	Unmatched				
-KTS	Unmatched				
XBP-1	Unmatched				
XW	Unmatched				
V	Unmatched				
YB-1	Synonyms	YBX1	Y box binding protein 1	HGNC:8014	1p34
YEBP	Unmatched				
YY1	Approved symbol	YY1	YY1 transcription factor	HGNC:12856	14q
Blimp-1	Unmatched				
HIV-EP2	Synonyms	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	HGNC:4921	6q23-q24
GRF-1	Synonyms	ARHGAP35	Rho GTPase activating protein 35	HGNC:4591	19q13.32
epsilonF1	Unmatched				
EivF	Unmatched				
IkappaB-alpha	Unmatched				
DEF	Synonyms	DIEXF	digestive organ expansion factor homolog (zebrafish)	HGNC:28440	1q32.2
NF-X	Unmatched				
MDBP	Unmatched				
G	Unmatched				
M	Unmatched				
ATF-1	Unmatched				
NFdeltaE3A	Unmatched				
NFdeltaE3B	Unmatched				
NFdeltaE3C	Unmatched				
NFdeltaE4A	Unmatched				
NFdeltaE4B	Unmatched				
NFdeltaE4C	Unmatched				
KRF-1	Unmatched				
FKBP59	Synonyms	FKBP4	"FK506 binding protein 4, 59kDa"	HGNC:3720	12p13.33
Hsp90	Synonyms	HSP90AA1	"heat shock protein 90kDa alpha (cytosolic), class A member 1"	HGNC:5253	14q32.33
hsp56	Synonyms	SELENBP1	selenium binding protein 1	HGNC:10719	1q21.3
SRY	Approved symbol	SRY	sex determining region Y	HGNC:11311	Yp11.3
TCF-1A	Unmatched				
TCF-1B	Unmatched				
TCF-1C	Unmatched				
TCF-1	Synonyms	TCF7	"transcription factor 7 (T-cell specific, HMG-box)"	HGNC:11639	5q31
SSRP1	Approved symbol	SSRP1	structure specific recognition protein 1	HGNC:11327	11q12
MEF-2A	Unmatched				
aMEF-2	Unmatched				
RSRFC4	Synonyms	MEF2A	myocyte enhancer factor 2A	HGNC:6993	15q26
RSRFC9	Synonyms	MEF2A	myocyte enhancer factor 2A	HGNC:6993	15q26
MEF-2B1	Unmatched				
ZF1	Unmatched				
ZF2	Unmatched				
HiNF-E	Unmatched				
CCF	Unmatched				
PRDI-BFc	Unmatched				
TFIIF	Synonyms	GTF2F1	"general transcription factor IIF, polypeptide 1, 74kDa"	HGNC:4652	19p13.3
TFIIF	Synonyms	GTF2F2	"general transcription factor IIF, polypeptide 2, 30kDa"	HGNC:4653	13q14
TFIIF	Synonyms	GTF2F2P1	"general transcription factor IIF, polypeptide 2 pseudogene 1"	HGNC:4654	4q31.22
HSF1	Approved symbol	HSF1	heat shock transcription factor 1	HGNC:5224	8q24.3
long	Unmatched				
HSF2	Approved symbol	HSF2	heat shock transcription factor 2	HGNC:5225	6q22
MIF-1	Unmatched				
AML1	Previous symbol	RUNX1	runt-related transcription factor 1	HGNC:10471	21q22.3
TREF1	Unmatched				
TREF2	Unmatched				
Hlf	Approved symbol	HLF	hepatic leukemia factor	HGNC:4977	17q22
Hlf	Synonyms	EPAS1	endothelial PAS domain protein 1	HGNC:3374	2p21-p16
c-abl	Synonyms	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	HGNC:76	9q34.1
IF1	Unmatched				
NRL	Approved symbol	NRL	neural retina leucine zipper	HGNC:8002	14q11.1-q11.2
FOXK2a	Unmatched				
Cx	Unmatched				
HNF-3	Synonyms	FOXM1	forkhead box M1	HGNC:3818	12p13
NF-IL-2B	Unmatched				
ELF-1	Synonyms	EFNA2	ephrin-A2	HGNC:3222	19p13
GF1	Previous symbol	GATA1	GATA binding protein 1 (globin transcription factor 1)	HGNC:4170	Xp11.23
GF1	Synonyms	SOS1	son of sevenless homolog 1 (Drosophila)	HGNC:11187	2p21
Pax-6	Unmatched				
T3R-alpha1	Unmatched				
T3R-alpha2	Unmatched				
alphaH0	Unmatched				
PPUR	Unmatched				
EBP-80	Unmatched				
PSE1	Synonyms	IPO5	importin 5	HGNC:6402	13q32.2
CCAAT-binding	Unmatched				
alpha-CP2b	Unmatched				
Id2	Approved symbol	ID2	"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"	HGNC:5361	2p25
NF-E	Unmatched				
octamer-binding	Unmatched				
PO-B	Unmatched				
AIIN3	Unmatched				
RPGalpha	Unmatched				
Brm	Synonyms	SMARCA2	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	HGNC:11098	9p24.3
Sox4	Approved symbol	SOX4	SRY (sex determining region Y)-box 4	HGNC:11200	6p22.3
FTS	Previous symbol	AKTIP	AKT interacting protein	HGNC:16710	16q12.2
ATF-4	Unmatched				
CRE-BPa	Synonyms	CREB5	cAMP responsive element binding protein 5	HGNC:16844	7p15
ATF3	Approved symbol	ATF3	activating transcription factor 3	HGNC:785	1q32.3
deltaZIP	Unmatched				
RAR-beta2	Unmatched				
RAR-gamma1	Unmatched				
RXR-beta	Unmatched				
RXR-alpha	Unmatched				
Arnt	Approved symbol	ARNT	aryl hydrocarbon receptor nuclear translocator	HGNC:700	1q21
TRAP	Synonyms	ACP5	"acid phosphatase 5, tartrate resistant"	HGNC:124	19p13.2
TRAP	Synonyms	CD40LG	CD40 ligand	HGNC:11935	Xq26
TRAP	Synonyms	SCYL1	SCY1-like 1 (S. cerevisiae)	HGNC:14372	11q11-q12
Hp55	Synonyms	POLG2	"polymerase (DNA directed), gamma 2, accessory subunit"	HGNC:9180	17q23.3
Hp65	Unmatched				
p45	Synonyms	PSMC5	"proteasome (prosome, macropain) 26S subunit, ATPase, 5"	HGNC:9552	17q23.3
p45	Synonyms	SKP2	"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase"	HGNC:10901	5p13
p28	Synonyms	GSTO1	glutathione S-transferase omega 1	HGNC:13312	10q25.1
p28	Synonyms	GOSR1	golgi SNAP receptor complex member 1	HGNC:4430	17q11
p28	Synonyms	PSMD10	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 10"	HGNC:9555	Xq22.3
p28	Synonyms	DNALI1	"dynein, axonemal, light intermediate chain 1"	HGNC:14353	1p35.1
p28	Synonyms	IL27	interleukin 27	HGNC:19157	16p11
modulator	Unmatched				
KER-1	Unmatched				
120-kDa	Unmatched				
CRE-binding	Unmatched				
CHOP-10	Unmatched				
GABP-alpha	Unmatched				
GABP-beta1	Unmatched				
GABP-beta2	Unmatched				
Ets-1	Synonyms	ETS1	v-ets avian erythroblastosis virus E26 oncogene homolog 1	HGNC:3488	11q23.3
deltaVII	Unmatched				
Spi-B	Synonyms	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	HGNC:11242	19q13.3-q13.4
NRF-2beta1	Unmatched				
NRF-2gamma1	Unmatched				
p38erg	Unmatched				
Net	Synonyms	SLC6A2	"solute carrier family 6 (neurotransmitter transporter), member 2"	HGNC:11048	16q12.2
Net	Synonyms	ELK3	"ELK3, ETS-domain protein (SRF accessory protein 2)"	HGNC:3325	12q23
TEL1	Synonyms	ATM	ATM serine/threonine kinase	HGNC:795	11q22-q23
NF-CLE0a	Unmatched				
NF-CLE0b	Unmatched				
HOXD9	Approved symbol	HOXD9	homeobox D9	HGNC:5140	2q31.1
HOXD10	Approved symbol	HOXD10	homeobox D10	HGNC:5133	2q31.1
p300	Synonyms	EP300	E1A binding protein p300	HGNC:3373	22q13.2
E4BP4	Synonyms	NFIL3	"nuclear factor, interleukin 3 regulated"	HGNC:7787	9q22
Nrf1	Approved symbol	NRF1	nuclear respiratory factor 1	HGNC:7996	7q32
Nrf1	Synonyms	NFE2L1	"nuclear factor, erythroid 2-like 1"	HGNC:7781	17q21.3
Nrf2	Synonyms	GABPA	"GA binding protein transcription factor, alpha subunit 60kDa"	HGNC:4071	21q21-q22.1
Nrf2	Synonyms	NFE2L2	"nuclear factor, erythroid 2-like 2"	HGNC:7782	2q31
Ku	Unmatched				
autoantigen	Unmatched				
Tal-1beta	Unmatched				
ISGF-3alpha	Unmatched				
IRF-9	Unmatched				
NP-TCII	Unmatched				
Fra-1	Synonyms	FOSL1	FOS-like antigen 1	HGNC:13718	11q13
CSBP-1	Unmatched				
TRF	Synonyms	IL5	interleukin 5	HGNC:6016	5q23-q31
TRF	Synonyms	TERF1	telomeric repeat binding factor (NIMA-interacting) 1	HGNC:11728	8q21.11
ZID	Synonyms	ZBTB6	zinc finger and BTB domain containing 6	HGNC:16764	9q33.1-q33.3
Pbx1a	Unmatched				
p107	Synonyms	RBL1	retinoblastoma-like 1	HGNC:9893	20q11.23
cyclin	Unmatched				
A	Unmatched				
cdk2	Approved symbol	CDK2	cyclin-dependent kinase 2	HGNC:1771	12q13
RBP60	Unmatched				
IRF-2	Unmatched				
STAT1alpha	Unmatched				
STAT3	Approved symbol	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	HGNC:11364	17q21
STAT2	Approved symbol	STAT2	"signal transducer and activator of transcription 2, 113kDa"	HGNC:11363	12q13.2
HiNF-P	Synonyms	HINFP	histone H4 transcription factor	HGNC:17850	11q23.3
IL-6	Synonyms	IL6	interleukin 6	HGNC:6018	7p21-p15
RE-BP	Unmatched				
TxRE	Unmatched				
BP	Unmatched				
HEB	Synonyms	TCF12	transcription factor 12	HGNC:11623	15q21
F2F	Unmatched				
NFbetaA	Unmatched				
PTF	Unmatched				
ADA-NF1	Unmatched				
NF-X3	Unmatched				
Pur	Unmatched				
p65delta	Unmatched				
RORalpha1	Unmatched				
RORalpha2	Unmatched				
RORalpha3	Unmatched				
E2F-1	Unmatched				
E2F-2	Synonyms	E2F2	E2F transcription factor 2	HGNC:3114	1p36
E2F-3a	Unmatched				
E2F-4	Synonyms	E2F4	"E2F transcription factor 4, p107/p130-binding"	HGNC:3118	16q22.1
DP-1	Synonyms	TFDP1	transcription factor Dp-1	HGNC:11749	13q34
MITF	Approved symbol	MITF	microphthalmia-associated transcription factor	HGNC:7105	3p14.1-p12.3
SREBP-1a	Unmatched				
SREBP-1b	Unmatched				
SREBP-1c	Synonyms	SREBF1	sterol regulatory element binding transcription factor 1	HGNC:11289	17p11.2
SREBP-2	Unmatched				
Mxi1	Approved symbol	MXI1	"MAX interactor 1, dimerization protein"	HGNC:7534	10q24-q25
Mad1	Synonyms	MXD1	MAX dimerization protein 1	HGNC:6761	2p13-p12
Mad1	Synonyms	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	HGNC:6762	7p22
deltaMax	Unmatched				
Max2	Unmatched				
STAT1beta	Unmatched				
STAT4	Approved symbol	STAT4	signal transducer and activator of transcription 4	HGNC:11365	2q32.2-q32.3
STAT6	Approved symbol	STAT6	"signal transducer and activator of transcription 6, interleukin-4 induced"	HGNC:11368	12q13
A-Myb	Synonyms	MYBL1	v-myb avian myeloblastosis viral oncogene homolog-like 1	HGNC:7547	8q22
LBP-1a	Synonyms	UBP1	upstream binding protein 1 (LBP-1a)	HGNC:12507	3p22.3
LCR-F1	Synonyms	NFE2L1	"nuclear factor, erythroid 2-like 1"	HGNC:7781	17q21.3
E2F-5	Unmatched				
p130	Synonyms	RBL2	retinoblastoma-like 2	HGNC:9894	16q12.2
p130	Synonyms	NOLC1	nucleolar and coiled-body phosphoprotein 1	HGNC:15608	10q24.32
HIF-1	Synonyms	SETD2	SET domain containing 2	HGNC:18420	3p21.31
HIF-1alpha	Synonyms	HIF1A	"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"	HGNC:4910	14q23.2
RBP-Jkappa	Unmatched				
MASH-1	Unmatched				
Tal-2	Unmatched				
Lyl-1	Unmatched				
EC2	Synonyms	TCF15	transcription factor 15 (basic helix-loop-helix)	HGNC:11627	20p13
HEN1	Previous symbol	NHLH1	nescient helix loop helix 1	HGNC:7817	1q22
HEN1	Synonyms	HENMT1	HEN1 methyltransferase homolog 1 (Arabidopsis)	HGNC:26400	1p13.3
HEN2	Previous symbol	NHLH2	nescient helix loop helix 2	HGNC:7818	1p12-p11
TR2-5	Unmatched				
TR2-9	Unmatched				
TR2-11	Synonyms	NR2C1	"nuclear receptor subfamily 2, group C, member 1"	HGNC:7971	12q22
ATBF1-A	Unmatched				
RFX2	Approved symbol	RFX2	"regulatory factor X, 2 (influences HLA class II expression)"	HGNC:9983	19p13.3
RFX3	Approved symbol	RFX3	"regulatory factor X, 3 (influences HLA class II expression)"	HGNC:9984	9p24.2
RFX5	Approved symbol	RFX5	"regulatory factor X, 5 (influences HLA class II expression)"	HGNC:9986	1q21
RFX1	Approved symbol	RFX1	"regulatory factor X, 1 (influences HLA class II expression)"	HGNC:9982	19p13.1
PTFgamma	Synonyms	SNAPC1	"small nuclear RNA activating complex, polypeptide 1, 43kDa"	HGNC:11134	14q22
PTFdelta	Synonyms	SNAPC2	"small nuclear RNA activating complex, polypeptide 2, 45kDa"	HGNC:11135	19p13
PTFalpha	Synonyms	SNAPC4	"small nuclear RNA activating complex, polypeptide 4, 190kDa"	HGNC:11137	9q34.3
PTFbeta	Synonyms	SNAPC3	"small nuclear RNA activating complex, polypeptide 3, 50kDa"	HGNC:11136	9p22.3
